Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
piss,3.17,1.81,35,4.98,1.95,46,2.73,1.61,22,2.75,1.91,8,4.74,2.99,23,3.44,2.55,9,1203
pit,3.87,1.66,78,4.21,1.56,72,3.85,1.69,20,4.4,2.12,10,3.5,2.53,18,3.71,1.8,7,674
planet,6.43,1.65,14,NA,NA,NA,6.27,1.58,22,6.08,1.68,12,4.35,2.6,20,5,2.55,9,1975
plank,4.88,1.6,68,4.62,1.87,64,4.76,1.67,21,4.67,1.97,6,4.3,2.47,20,4.7,2.75,10,104
plaque,3.57,1.79,14,4.39,1.59,23,3.38,2.13,21,4.12,2.7,8,4.52,2.15,23,5.57,1.7,14,106
plate,5.16,1.54,37,4.09,2.09,47,4.8,1.36,20,5,1.3,14,3.18,2.02,22,3.42,2.19,12,1308
platoon,4.4,1.53,58,4.55,1.7,55,4.65,1.66,20,4.8,1.69,10,4.28,2.82,18,5.43,2.23,7,368
player,5.12,1.89,16,4.62,2.38,26,5.55,2.02,22,6,1.95,12,5.95,2.54,20,6.44,2.3,9,1926
plea,3.93,1.49,15,4.43,2.04,23,4.35,1.6,20,4.55,1.13,11,4.64,2.61,22,4.89,2.2,9,349
pledge,5.26,1.35,27,4.66,1.45,29,5.09,2.02,23,4.75,2.14,12,3.95,2.22,21,4.09,2.07,11,351
plot,5.14,1.08,37,4.33,1.79,46,4.9,1.73,21,4.25,1.71,12,4.52,1.83,23,4.25,1.18,16,591
plunge,3.71,1.64,14,NA,NA,NA,4.62,1.47,21,4.75,1.53,16,4.6,2.66,25,4.5,3.08,14,114
plutonium,5.11,1.93,27,4,1.81,37,4.05,2.27,19,4.5,1.76,6,4.45,2.72,20,5.29,3.04,7,100
pocket,6,1.36,14,NA,NA,NA,5.67,1.15,21,5.83,1.34,12,4.5,2.4,20,5.11,2.32,9,1821
poem,5.83,2.2,60,4,2.62,58,6.62,2.18,21,6.69,2.66,13,4.15,2.66,20,3.92,2.57,12,696
poet,6.07,2.12,15,3.88,2.03,26,6.85,1.46,20,6.64,1.5,14,2.91,2.04,22,3.17,2.44,12,470
poetic,6.13,2.13,15,3.71,2.66,17,6.83,1.4,23,7,1.28,12,4.4,2.58,20,5.09,2.66,11,137
poetry,NA,NA,NA,4.2,2.31,20,6.15,2.13,40,6.21,2.1,19,3.59,2.45,41,4.04,2.64,23,682
